date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
20:18:42	730302/730302	---MCZ	200	added ('OK')	image/svg+xml	etag:W/%22b24be-5c03e2f9d1288%22	https://preview.colorlib.com/theme/congoro/assets/fonts/fa-brands-400.svg	D:/wipenex/Congoro/preview.colorlib.com/theme/congoro/assets/fonts/fa-brands-400.svg	(from https://preview.colorlib.com/theme/congoro/assets/css/fontawesome-all.min.css)
20:18:42	16780/16780	---M--	200	added ('OK')	font/woff	etag:%22418c-5c03e2faf237c%22	https://preview.colorlib.com/theme/congoro/assets/fonts/fa-regular-400.woff	D:/wipenex/Congoro/preview.colorlib.com/theme/congoro/assets/fonts/fa-regular-400.woff	(from https://preview.colorlib.com/theme/congoro/assets/css/fontawesome-all.min.css)
20:18:44	34052/34052	---MCZ	200	added ('OK')	font/ttf	etag:W/%228504-5c03e301416f6%22	https://preview.colorlib.com/theme/congoro/assets/fonts/fa-regular-400.ttf	D:/wipenex/Congoro/preview.colorlib.com/theme/congoro/assets/fonts/fa-regular-400.ttf	(from https://preview.colorlib.com/theme/congoro/assets/css/fontawesome-all.min.css)
20:18:45	144715/144715	---MCZ	200	added ('OK')	image/svg+xml	etag:W/%222354b-5c03e2f4a8dc2%22	https://preview.colorlib.com/theme/congoro/assets/fonts/fa-regular-400.svg	D:/wipenex/Congoro/preview.colorlib.com/theme/congoro/assets/fonts/fa-regular-400.svg	(from https://preview.colorlib.com/theme/congoro/assets/css/fontawesome-all.min.css)
20:18:47	80148/80148	---M--	200	added ('OK')	font/woff2	etag:%2213914-5c03e3021170d%22	https://preview.colorlib.com/theme/congoro/assets/fonts/fa-solid-900.woff2	D:/wipenex/Congoro/preview.colorlib.com/theme/congoro/assets/fonts/fa-solid-900.woff2	(from https://preview.colorlib.com/theme/congoro/assets/css/fontawesome-all.min.css)
20:18:47	204266/204266	---MCZ	200	added ('OK')	application/vnd.ms-fontobject	etag:W/%2231dea-5c03e2fa83de1%22	https://preview.colorlib.com/theme/congoro/assets/fonts/fa-solid-900.eot	D:/wipenex/Congoro/preview.colorlib.com/theme/congoro/assets/fonts/fa-solid-900.eot	(from https://preview.colorlib.com/theme/congoro/assets/css/fontawesome-all.min.css)
20:18:47	204266/204266	---MCZ	200	added ('OK')	application/vnd.ms-fontobject	etag:W/%2231dea-5c03e2fa83de1%22	https://preview.colorlib.com/theme/congoro/assets/fonts/fa-solid-900.eot?	D:/wipenex/Congoro/preview.colorlib.com/theme/congoro/assets/fonts/fa-solid-900d41d.eot	(from https://preview.colorlib.com/theme/congoro/assets/css/fontawesome-all.min.css)
20:18:49	203980/203980	---MCZ	200	added ('OK')	font/ttf	etag:W/%2231ccc-5c03e2f3aedcd%22	https://preview.colorlib.com/theme/congoro/assets/fonts/fa-solid-900.ttf	D:/wipenex/Congoro/preview.colorlib.com/theme/congoro/assets/fonts/fa-solid-900.ttf	(from https://preview.colorlib.com/theme/congoro/assets/css/fontawesome-all.min.css)
20:18:49	78748/78748	---MCZ	200	added ('OK')	application/vnd.ms-fontobject	etag:W/%221339c-5c03e2f73c085%22	https://preview.colorlib.com/theme/congoro/assets/fonts/themify.eot?-fvbane	D:/wipenex/Congoro/preview.colorlib.com/theme/congoro/assets/fonts/themify9f24.eot	(from https://preview.colorlib.com/theme/congoro/assets/css/themify-icons.css)
20:18:49	914125/914125	---MCZ	200	added ('OK')	image/svg+xml	etag:W/%22df2cd-5c03e2ff8fd89%22	https://preview.colorlib.com/theme/congoro/assets/fonts/fa-solid-900.svg	D:/wipenex/Congoro/preview.colorlib.com/theme/congoro/assets/fonts/fa-solid-900.svg	(from https://preview.colorlib.com/theme/congoro/assets/css/fontawesome-all.min.css)
20:18:50	78748/78748	---MCZ	200	added ('OK')	application/vnd.ms-fontobject	etag:W/%221339c-5c03e2f73c085%22	https://preview.colorlib.com/theme/congoro/assets/fonts/themify.eot?	D:/wipenex/Congoro/preview.colorlib.com/theme/congoro/assets/fonts/themifyd41d.eot	(from https://preview.colorlib.com/theme/congoro/assets/css/themify-icons.css)
20:18:51	56108/56108	---M--	200	added ('OK')	font/woff	etag:%22db2c-5c03e304ad670%22	https://preview.colorlib.com/theme/congoro/assets/fonts/themify.woff?-fvbane	D:/wipenex/Congoro/preview.colorlib.com/theme/congoro/assets/fonts/themify9f24.woff	(from https://preview.colorlib.com/theme/congoro/assets/css/themify-icons.css)
20:18:52	78584/78584	---MCZ	200	added ('OK')	font/ttf	etag:W/%22132f8-5c03e2f5f4e33%22	https://preview.colorlib.com/theme/congoro/assets/fonts/themify.ttf?-fvbane	D:/wipenex/Congoro/preview.colorlib.com/theme/congoro/assets/fonts/themify9f24.ttf	(from https://preview.colorlib.com/theme/congoro/assets/css/themify-icons.css)
20:18:53	234269/234269	---MCZ	200	added ('OK')	image/svg+xml	etag:W/%223931d-5c03e2fc74eeb%22	https://preview.colorlib.com/theme/congoro/assets/fonts/themify.svg?-fvbane	D:/wipenex/Congoro/preview.colorlib.com/theme/congoro/assets/fonts/themify9f24.svg	(from https://preview.colorlib.com/theme/congoro/assets/css/themify-icons.css)
20:18:53	320177/320177	---M--	200	added ('OK')	image/jpeg	etag:%224e2b1-5c03eb453b335%22	https://preview.colorlib.com/theme/congoro/assets/img/hero/hero2.jpg	D:/wipenex/Congoro/preview.colorlib.com/theme/congoro/assets/img/hero/hero2.jpg	(from https://preview.colorlib.com/theme/congoro/assets/css/style.css)
20:18:54	55524/55524	---M--	200	added ('OK')	image/jpeg	etag:%22d8e4-5c03eb07fda0a%22	https://preview.colorlib.com/theme/congoro/assets/img/gallery/visit_bg.jpg	D:/wipenex/Congoro/preview.colorlib.com/theme/congoro/assets/img/gallery/visit_bg.jpg	(from https://preview.colorlib.com/theme/congoro/assets/css/style.css)
